vehículo[298]: 24.8274133333336Mbps
vehículo[299]: 0.10378666666666399Mbps
vehículo[300]: 24.82592Mbps
vehículo[301]: 0.09482666666666399Mbps
vehículo[302]: 0.117226666666664Mbps
vehículo[303]: 24.825173333333602Mbps
vehículo[304]: 0.09482666666666399Mbps
vehículo[305]: 0.139626666666664Mbps
vehículo[306]: 0.09482666666666399Mbps
vehículo[307]: 0.09408Mbps
vehículo[308]: 0.09482666666666399Mbps
vehículo[309]: 15.0468266666664Mbps
vehículo[310]: 0.09482666666666399Mbps
vehículo[311]: 0.09482666666666399Mbps
vehículo[312]: 15.3335466666664Mbps
vehículo[313]: 24.11584Mbps
vehículo[314]: 24.82816Mbps
vehículo[315]: 24.825173333333602Mbps
vehículo[316]: 24.8244266666664Mbps
vehículo[317]: 24.82592Mbps
vehículo[318]: 0.09482666666666399Mbps
vehículo[319]: 0.09482666666666399Mbps
vehículo[320]: 24.8274133333336Mbps
vehículo[321]: 0.09482666666666399Mbps
vehículo[322]: 0.09482666666666399Mbps
vehículo[323]: 22.1774933333336Mbps
vehículo[324]: 0.082133333333336Mbps
vehículo[325]: 24.826666666666398Mbps
vehículo[326]: 0.082133333333336Mbps
vehículo[327]: 0.082133333333336Mbps
vehículo[328]: 0.0664533333333336Mbps
vehículo[329]: 0.09482666666666399Mbps
vehículo[330]: 0.09408Mbps
vehículo[331]: 0.0574933333333336Mbps
vehículo[332]: 0.082133333333336Mbps
vehículo[333]: 0.07392Mbps
vehículo[334]: 0.0664533333333336Mbps
vehículo[335]: 0.04928Mbps
vehículo[336]: 0.0574933333333336Mbps
vehículo[337]: 0.09408Mbps
vehículo[338]: 0.09408Mbps
vehículo[339]: 0.09408Mbps
vehículo[340]: 11.3538133333336Mbps
vehículo[341]: 0.09408Mbps
vehículo[342]: 0.09408Mbps
vehículo[343]: 6.55424Mbps
vehículo[344]: 0.09408Mbps
vehículo[345]: 14.707093333333601Mbps
vehículo[346]: 7.57418666666664Mbps
vehículo[347]: 0.09408Mbps
vehículo[348]: 7.96096Mbps
vehículo[349]: 4.43893333333336Mbps
vehículo[350]: 8.5851733333336Mbps
vehículo[351]: 4.67488Mbps
vehículo[352]: 0.09408Mbps
vehículo[353]: 0.10976Mbps
vehículo[354]: 24.8192Mbps
vehículo[355]: 0.09408Mbps
vehículo[356]: 0.09408Mbps
vehículo[357]: 24.8289066666664Mbps
vehículo[358]: 24.825173333333602Mbps
vehículo[359]: 24.82816Mbps
vehículo[360]: 24.8199466666664Mbps
vehículo[361]: 18.496426666666398Mbps
vehículo[362]: 10.332373333333601Mbps
vehículo[363]: 0.09408Mbps
vehículo[364]: 24.82592Mbps
vehículo[365]: 24.8229333333336Mbps
vehículo[366]: 0.09408Mbps
vehículo[367]: 0.11424Mbps
vehículo[368]: 24.8154666666664Mbps
vehículo[369]: 24.8274133333336Mbps
vehículo[370]: 24.8274133333336Mbps
vehículo[371]: 0.09482666666666399Mbps
vehículo[372]: 24.8244266666664Mbps
vehículo[373]: 0.25088Mbps
vehículo[374]: 0.09408Mbps
vehículo[375]: 24.8109866666664Mbps
vehículo[376]: 0.09482666666666399Mbps
vehículo[377]: 24.82368Mbps
vehículo[378]: 0.09482666666666399Mbps
vehículo[379]: 0.09482666666666399Mbps
vehículo[380]: 24.8274133333336Mbps
vehículo[381]: 11.9018666666664Mbps
vehículo[382]: 24.8274133333336Mbps
vehículo[383]: 24.82592Mbps
vehículo[384]: 24.82816Mbps
vehículo[385]: 0.09408Mbps
vehículo[386]: 24.825173333333602Mbps
vehículo[387]: 0.09482666666666399Mbps
vehículo[388]: 16.9217066666664Mbps
vehículo[389]: 0.09482666666666399Mbps
vehículo[390]: 0.09408Mbps
vehículo[391]: 0.09482666666666399Mbps
vehículo[392]: 16.25792Mbps
vehículo[393]: 0.09482666666666399Mbps
vehículo[394]: 0.07392Mbps
vehículo[395]: 0.09482666666666399Mbps
vehículo[396]: 0.09408Mbps
vehículo[397]: 24.82816Mbps
vehículo[398]: 24.8289066666664Mbps
vehículo[399]: 24.8274133333336Mbps
vehículo[400]: 24.8289066666664Mbps
vehículo[401]: 24.82592Mbps
vehículo[402]: 24.826666666666398Mbps
vehículo[403]: 0.12096Mbps
vehículo[404]: 24.82592Mbps
vehículo[405]: 0.10229333333333601Mbps
vehículo[406]: 0.09408Mbps
vehículo[407]: 0.0574933333333336Mbps
vehículo[408]: 0.09408Mbps
vehículo[409]: 0.09408Mbps
vehículo[410]: 0.09408Mbps
vehículo[411]: 0.09408Mbps
vehículo[412]: 0.09408Mbps
vehículo[413]: 0.09408Mbps
vehículo[414]: 15.0714666666664Mbps
vehículo[415]: 9.1070933333336Mbps
vehículo[416]: 12.3282133333336Mbps
vehículo[417]: 17.2756266666664Mbps
vehículo[418]: 24.82816Mbps
vehículo[419]: 18.47104Mbps
vehículo[420]: 13.2443733333336Mbps
vehículo[421]: 14.5697066666664Mbps
vehículo[422]: 0.10976Mbps
vehículo[423]: 22.4970666666664Mbps
vehículo[424]: 0.09408Mbps
vehículo[425]: 0.09408Mbps
vehículo[426]: 0.09482666666666399Mbps
vehículo[427]: 0.09482666666666399Mbps
vehículo[428]: 24.825173333333602Mbps
vehículo[429]: 0.101546666666664Mbps
vehículo[430]: 24.8274133333336Mbps
vehículo[431]: 24.82816Mbps
vehículo[432]: 24.826666666666398Mbps
vehículo[433]: 24.825173333333602Mbps
vehículo[434]: 24.8289066666664Mbps
vehículo[435]: 24.8289066666664Mbps
vehículo[436]: 24.825173333333602Mbps
vehículo[437]: 0.09482666666666399Mbps
vehículo[438]: 14.4651733333336Mbps
vehículo[439]: 0.26208Mbps
vehículo[440]: 0.09482666666666399Mbps
vehículo[441]: 24.7997866666664Mbps
vehículo[442]: 0.09482666666666399Mbps
vehículo[443]: 24.826666666666398Mbps
vehículo[444]: 0.09482666666666399Mbps
vehículo[445]: 0.09482666666666399Mbps
vehículo[446]: 0.101546666666664Mbps
vehículo[447]: 24.8244266666664Mbps
vehículo[448]: 0.09482666666666399Mbps
vehículo[449]: 24.8094933333336Mbps
vehículo[450]: 0.09482666666666399Mbps
vehículo[451]: 0.09482666666666399Mbps
vehículo[452]: 24.0068266666664Mbps
vehículo[453]: 0.09408Mbps
vehículo[454]: 0.09408Mbps
vehículo[455]: 0.082133333333336Mbps
vehículo[456]: 0.09482666666666399Mbps
vehículo[457]: 0.09482666666666399Mbps
vehículo[458]: 0.082133333333336Mbps
vehículo[459]: 0.082133333333336Mbps
vehículo[460]: 0.09482666666666399Mbps
vehículo[461]: 0.09482666666666399Mbps
vehículo[462]: 0.09482666666666399Mbps
vehículo[463]: 17.9550933333336Mbps
vehículo[464]: 0.09482666666666399Mbps
vehículo[465]: 24.8274133333336Mbps
vehículo[466]: 24.826666666666398Mbps
vehículo[467]: 24.8289066666664Mbps
vehículo[468]: 24.825173333333602Mbps
vehículo[469]: 14.83104Mbps
vehículo[470]: 14.5271466666664Mbps
vehículo[471]: 24.82592Mbps
vehículo[472]: 24.82816Mbps
vehículo[473]: 24.8244266666664Mbps
vehículo[474]: 15.6322133333336Mbps
vehículo[475]: 15.9428266666664Mbps
vehículo[476]: 0.09482666666666399Mbps
vehículo[477]: 0.09408Mbps
vehículo[478]: 24.8087466666664Mbps
vehículo[479]: 23.24896Mbps
vehículo[480]: 22.5896533333336Mbps
vehículo[481]: 0.082133333333336Mbps
vehículo[482]: 0.09408Mbps
vehículo[483]: 0.09408Mbps
vehículo[484]: 0.09408Mbps
vehículo[485]: 14.3277866666664Mbps
vehículo[486]: 0.09408Mbps
vehículo[487]: 0.07392Mbps
vehículo[488]: 0.09408Mbps
vehículo[489]: 0.09408Mbps
vehículo[490]: 0.09408Mbps
vehículo[491]: 0.04928Mbps
vehículo[492]: 0.0343466666666664Mbps
vehículo[493]: 0.0574933333333336Mbps
vehículo[494]: 0.0231466666666664Mbps
vehículo[495]: 0.0664533333333336Mbps
vehículo[496]: 19.2976Mbps
vehículo[497]: 0.082133333333336Mbps
vehículo[498]: 0.082133333333336Mbps
vehículo[499]: 0.09408Mbps
vehículo[500]: 0.082133333333336Mbps
vehículo[501]: 0.09482666666666399Mbps
vehículo[502]: 0.082133333333336Mbps
vehículo[503]: 0.09482666666666399Mbps
vehículo[504]: 0.0664533333333336Mbps
vehículo[505]: 24.826666666666398Mbps
vehículo[506]: 24.8296533333336Mbps
vehículo[507]: 0.082133333333336Mbps
vehículo[508]: 24.82592Mbps
vehículo[509]: 24.82592Mbps
vehículo[510]: 0.09482666666666399Mbps
vehículo[511]: 24.825173333333602Mbps
vehículo[512]: 0.09482666666666399Mbps
vehículo[513]: 0.753386666666664Mbps
vehículo[514]: 0.09408Mbps
vehículo[515]: 0.09408Mbps
vehículo[516]: 12.4432Mbps
vehículo[517]: 24.82592Mbps
vehículo[518]: 0.082133333333336Mbps
vehículo[519]: 24.826666666666398Mbps
vehículo[520]: 24.82592Mbps
vehículo[521]: 9.6954666666664Mbps
vehículo[522]: 0.09408Mbps
vehículo[523]: 0.0664533333333336Mbps
vehículo[524]: 0.082133333333336Mbps
vehículo[525]: 0.04928Mbps
vehículo[526]: 0.04256Mbps
vehículo[527]: 0.0231466666666664Mbps
vehículo[528]: 0.04928Mbps
vehículo[529]: 0.07392Mbps
vehículo[530]: 0.0664533333333336Mbps
vehículo[531]: 0.09482666666666399Mbps
vehículo[532]: 24.8199466666664Mbps
vehículo[533]: 0.09482666666666399Mbps
vehículo[534]: 0.09408Mbps
vehículo[535]: 24.8154666666664Mbps
vehículo[536]: 0.09408Mbps
vehículo[537]: 0.09408Mbps
vehículo[538]: 0.09408Mbps
vehículo[539]: 0.09408Mbps
vehículo[540]: 0.0343466666666664Mbps
